Type,Strategy,Price,Tick Time,Signal Time,Confirm Time,Result,Digit,Desc,RSI,ADX,BBW,Intensity,Epsilon,Accel,SLow,SHigh,Trend,Dir,Streak,Mean,Std,Conf RSI,Conf ADX,Conf BBW,Conf Int,Conf Eps,Conf Accel,Conf SLow,Conf SHigh
TICK,unleashed,7897.50,1775168695,,,-,,,35.71428571433212,19.973546191732368,0.7552065861629753,1.2507382661602875,2,0.04,0.0008934516396008833,0.0011310734262691606,7897.535343723519,1,1,0.001012262532935022,0.0001188108933341386,,,,,,,,
TICK,unleashed,7897.40,1775168696,,,-,,,28.571428571465688,21.608088810684954,0.6898436029029736,0.9013558532869811,-2,0,0.000893315045802367,0.0011310589312207193,7897.496674088227,-1,1,0.0010121869885115432,0.00011887194270917622,,,,,,,,
TICK,unleashed,7897.30,1775168697,,,-,,,21.428571428613196,24.146286548691286,0.7252590601475207,1.007094542228875,0,0,0.0008928579755005553,0.0011300693002240614,7897.4404814915915,-1,2,0.0010114636378623083,0.000118605662361753,,,,,,,,
TICK,unleashed,7897.20,1775168698,,,-,,,21.428571428613196,26.503184448268595,0.8498088599850538,0.9497274617781059,0,-0.04,0.0008931872669537856,0.0011301729619171827,7897.371772493994,-1,3,0.0010116801144354841,0.00011849284748169855,,,,,,,,
TICK,unleashed,7897.10,1775168699,,,-,,,21.42857142862711,28.691732497874106,0.9036162483024165,1.1232440176979512,0,0,0.0008937817480099386,0.0011320628386085453,7897.294123209996,-1,4,0.001012922293309242,0.00011914054529930342,,,,,,,,
TICK,unleashed,7897.20,1775168700,,,-,,,28.571428571437863,29.703547523534834,0.8511923506549607,0.9015913808638134,2,0.04,0.0008929028390011006,0.001131845503579316,7897.267230864283,1,1,0.0010123741712902083,0.00011947133228910774,,,,,,,,
TICK,unleashed,7897.30,1775168701,,,-,,,35.71428571431356,29.622681884094696,0.724704397758331,1.0795377893437952,0,0,0.0008933518215264706,0.0011328254353581593,7897.276593474488,1,2,0.001013088628442315,0.00011973680691584441,,,,,,,,
TICK,unleashed,7897.20,1775168702,,,-,,,28.571428571437863,30.568000525025383,0.7108333772390153,0.9268361225157107,-2,0,0.0008933661153727111,0.0011328287581561245,7897.254709624634,-1,1,0.0010130974367644177,0.00011973132139170666,,,,,,,,
TICK,unleashed,7897.30,1775168703,,,-,,,35.71428571431356,30.425388242621633,0.546897360895803,0.9400684651050162,2,0.04,0.0008920851338935872,0.0011313232975474956,7897.267649731882,1,1,0.0010117042157205415,0.00011961908182695422,,,,,,,,
TICK,unleashed,7897.40,1775168704,,,-,,,42.857142857124295,29.272554388559474,0.4585043198825998,1.022162552377449,0,0.04,0.0008926927651956662,0.001131866939513256,7897.305464094201,1,2,0.0010122798523544611,0.00011958708715879494,,,,,,,,
TICK,unleashed,7897.30,1775168705,,,-,,,42.85714285715214,28.202065809783495,0.45770368244383125,1.0100911177352214,-2,0,0.0008922409031516203,0.0011307906773297912,7897.303902924429,-1,1,0.0010115157902407057,0.00011927488708908543,,,,,,,,
TICK,unleashed,7897.40,1775168706,,,-,,,42.857142857115015,27.208040700925388,0.4357055027245899,0.9692306994332196,2,0,0.0008939623707147663,0.0011311023604610177,7897.3313592317345,1,1,0.001012532365587892,0.00011856999487312573,,,,,,,,
TICK,unleashed,7897.30,1775168707,,,-,,,42.857142857142854,26.285017385553168,0.41657081011789016,1.0385097272620742,-2,-0.04,0.0008937311673864833,0.0011303133413576236,7897.322399451239,-1,1,0.0010120222543720534,0.00011829108698557012,,,,,,,,
TICK,unleashed,7897.20,1775168708,,,-,,,42.857142857142854,25.427924306993248,0.36668769140365587,0.9565542722541048,0,0,0.0008937440469645657,0.0011303191862323666,7897.2874281794575,-1,2,0.0010120316165984661,0.00011828756963390043,,,,,,,,
TICK,unleashed,7897.30,1775168709,,,-,,,42.857142857142854,24.63205216261618,0.3696884264100627,1.056803660119131,2,0,0.0008939042179762241,0.0011306725628299206,7897.291020128184,1,1,0.0010122883904030724,0.00011838417242684825,,,,,,,,
